"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"214106_s_at",1.80386280617647,6.91714809732395,3.73402594934525,0.0004096353975968,0.00874918507618963,-0.368012619882784
"231582_at",-2.03701221138235,3.19603738747887,-3.73297695348007,0.000411031378426833,0.00877291423375524,-0.37120040341742
"203762_s_at",2.0206305835,9.05477834914084,3.7328439623284,0.000411208684772371,0.00877291423375524,-0.371604508784043
"1555851_s_at",-1.42464379882353,12.4479082023944,-3.732130126287,0.00041216163528269,0.00878830489074113,-0.373773408141642
"225741_at",1.41810411711765,8.2357070555493,3.7317257472904,0.000412702406245885,0.00879489451244039,-0.375001946300408
"203570_at",6.62831798302941,8.27664804732395,3.73047392185191,0.000414380761368001,0.0088257056211903,-0.378804569360359
"227814_at",1.24733903697059,5.56383690329578,3.72940867954466,0.00041581409793651,0.00885126655809438,-0.382039784390235
"236660_at",-4.88901074288235,7.4525033754507,-3.72862587428335,0.000416870422156593,0.00886877802832474,-0.384416848205198
"228456_s_at",-1.97762878064706,9.57989143804225,-3.727970379631,0.0004177569257999,0.00888064598323674,-0.386407079689085
"201555_at",1.96105452679412,10.1900585503803,3.72786749273359,0.000417896235602593,0.00888064598323674,-0.386719447830146
"224944_at",1.78899058176471,11.8215818232535,3.72670701824651,0.000419470607920727,0.00890911441131688,-0.390242312590305
"204012_s_at",2.01015717517647,9.3021687132676,3.72573098463972,0.000420799145504885,0.00893233264457069,-0.393204733982639
"204353_s_at",2.03900865667647,7.71596009183099,3.72546493249537,0.000421161982163269,0.00893503737899649,-0.39401216100653
"1553909_x_at",-1.85903137752941,3.52241493595775,-3.72441502716308,0.000422596743824999,0.00896046749448828,-0.397198106818033
"229886_at",2.75043457717647,6.31404684488732,3.7224999651816,0.000425225840917042,0.00901074852393372,-0.403007921116398
"209534_x_at",2.90378853105882,7.44554526439437,3.72234233409171,0.000425442940266882,0.00901074852393372,-0.403486050213035
"235431_s_at",-2.64621833311765,6.97076717739437,-3.72208374653187,0.000425799312672977,0.00901118452227407,-0.404270374442169
"1556629_a_at",-4.36981055235294,6.61416839550704,-3.72198289855559,0.000425938373635445,0.00901118452227407,-0.404576248034829
"237703_at",-2.07726720944118,3.20192298640845,-3.72066776679547,0.000427755810508027,0.00904459277549954,-0.40856458662148
"223398_at",-2.17372442623529,7.27163867838028,-3.71969759290622,0.000429101284588094,0.00906744317961727,-0.411506218383858
"236087_at",-1.34836821841176,3.54052427871831,-3.71954425315826,0.000429314311897883,0.00906744317961727,-0.411971110455648
"214956_at",-4.60053203047059,5.68753838947887,-3.71904291558,0.000430011501184208,0.00907711708339568,-0.413490970382044
"210896_s_at",-2.73220071282353,9.36588375650705,-3.71693428503269,0.000432955753262886,0.00913418713693138,-0.419882101368481
"1564190_x_at",-2.16257833038235,4.36560056539437,-3.71462923698041,0.000436196303934981,0.00919744139974903,-0.426865946231912
"217514_at",-2.54145299258823,3.15284255995775,-3.71380880768993,0.000437355288365002,0.00921675880877584,-0.429351026884109
"239331_at",-3.71463712917647,4.2525376231831,-3.71288112958055,0.000438669324097076,0.00923932049210901,-0.432160546859906
"201421_s_at",1.40516831867647,8.5334731230845,3.71216686779435,0.000439683630557934,0.00925554770615409,-0.434323422789092
"225485_at",2.81198001670588,9.21082869147887,3.7118930394583,0.000440073081861496,0.0092586107255938,-0.435152540294174
"228578_at",1.69227445667647,8.11421478729577,3.71151438100468,0.000440612170613426,0.00926481679970192,-0.436299006477317
"228864_at",-1.12860471432353,5.79796269743662,-3.71098151326895,0.000441371873308855,0.0092747799020946,-0.437912247791574
"212219_at",2.10075344435294,8.7657930193662,3.71081636911536,0.000441607571210165,0.0092747799020946,-0.438412187136153
"220147_s_at",3.11333032876471,10.3984882302817,3.71048223829613,0.000442084819102179,0.0092747799020946,-0.439423655242194
"34846_at",-1.14857016879412,2.36372337246479,-3.71038133296145,0.000442229041742719,0.0092747799020946,-0.439729100721588
"216766_at",-2.29764826185294,3.06074133949296,-3.71032621758214,0.000442307836401729,0.0092747799020946,-0.439895935506946
"242836_at",-3.86570261479412,4.66625884164789,-3.70756877429934,0.000446267135885208,0.00935263549165499,-0.448240743719367
"223163_s_at",1.42210480238236,9.19846099901408,3.70738964637895,0.000446525506462566,0.00935288580147915,-0.448782700142809
"211663_x_at",-3.50811231741176,7.61531522343662,-3.70672653644608,0.000447483207763505,0.00936777587835415,-0.45078881330081
"229241_at",-1.16223983385294,2.13815770339437,-3.70391237408625,0.000451569467116531,0.00944526500753919,-0.459300001379484
"229965_at",-3.04335507079412,3.53513623109859,-3.70383490511889,0.000451682457413807,0.00944526500753919,-0.459534241658393
"205329_s_at",1.44020722876471,9.00670684225352,3.70340517608506,0.000452309717958723,0.00945317347764612,-0.460833542405616
"200798_x_at",1.8616021897353,10.4649315051972,3.70230980052927,0.000453912366634322,0.00948144742060487,-0.464145017062762
"230412_at",-4.44129847705882,8.68210342360563,-3.70160858786622,0.000454941160792437,0.0094977100201959,-0.466264556188131
"226674_at",-2.59022049817647,7.59746476035212,-3.70138908925706,0.000455263658899808,0.0094992176524922,-0.466927977263763
"212022_s_at",3.58961607982353,6.45800498769014,3.70103534790201,0.000455783852733876,0.00950484634431953,-0.467997086376243
"242728_at",-1.27471389167647,3.5769303351831,-3.70063530739759,0.000456372815974282,0.00951190217324981,-0.469206046998221
"203810_at",-2.00358717205882,9.01293765687324,-3.69887820540982,0.000458968347173801,0.00956074898388279,-0.474515196756195
"238107_at",-2.01893665023529,3.52178613443662,-3.6974815975938,0.000461041422309142,0.00959866491624859,-0.478733960170166
"239682_at",2.10004239247059,8.21212275416901,3.69721686482245,0.000461435389491269,0.00960160020435945,-0.479533530328791
"218023_s_at",-1.45322129670588,10.6999946972113,-3.69692671438158,0.000461867551882699,0.00960532661049641,-0.480409827576004
